,nvar,status,setup_time,solve_time,run_time,obj
lcvx_15,176,QCOS_SOLVED,0.0001724889999999999,0.0020016578899999995,0.002174146889999999,-3.4694482120808514
lcvx_25,286,QCOS_SOLVED,0.00025365100000000035,0.0029948072000000004,0.0032484582000000006,-3.4718071406344144
lcvx_50,561,QCOS_SOLVED,0.00043207700000000055,0.0061084578799999985,0.00654053488,-3.473491642955441
lcvx_75,836,QCOS_SOLVED,0.0006164570000000007,0.009479943990000003,0.010096400990000002,-3.474034139795025
lcvx_100,1111,QCOS_SOLVED,0.000775138,0.012654406569999997,0.013429544569999997,-3.474302466458876
lcvx_125,1386,QCOS_SOLVED,0.0010033650000000017,0.017736582869999996,0.01873994787,-3.4744578827319814
lcvx_150,1661,QCOS_SOLVED,0.0011813650000000008,0.018682510660000005,0.019863875660000006,-3.4745684035255198
lcvx_200,2211,QCOS_SOLVED,0.0015170690000000007,0.026248652599999988,0.027765721599999987,-3.474701655154677
lcvx_250,2761,QCOS_SOLVED,0.002009313000000004,0.03522241445,0.03723172745000001,-3.474771093612269
lcvx_300,3311,QCOS_SOLVED,0.0024093659999999974,0.05562167033999999,0.05803103633999998,-3.4748308047266487
