tau,clarabel,ecos,gurobi,mosek,qoco
1.5566543592710615,0.393,0.197,0.026,0.076,1.0
1.5638467583022468,0.406,0.197,0.026,0.076,1.0
1.5710723892474503,0.415,0.197,0.026,0.076,1.0
1.5783314056521174,0.425,0.198,0.026,0.076,1.0
1.5856239617711374,0.435,0.199,0.027,0.076,1.0
1.5929502125721224,0.442,0.199,0.027,0.076,1.0
1.6003103137387007,0.45,0.199,0.029,0.077,1.0
1.6077044216738234,0.457,0.199,0.029,0.077,1.0
1.6151326935030905,0.471,0.2,0.029,0.077,1.0
1.6225952870780875,0.481,0.201,0.029,0.077,1.0
1.6300923609797406,0.493,0.201,0.03,0.078,1.0
1.637624074521688,0.5,0.202,0.03,0.08,1.0
1.6451905877536623,0.509,0.202,0.031,0.08,1.0
1.6527920614648948,0.52,0.204,0.032,0.08,1.0
1.66042865718753,0.532,0.204,0.033,0.08,1.0
1.6681005372000586,0.545,0.204,0.034,0.08,1.0
1.6758078645307677,0.558,0.205,0.035,0.08,1.0
1.6835508029612023,0.568,0.206,0.036,0.08,1.0
1.691329517029648,0.577,0.21,0.038,0.08,1.0
1.6991441720346263,0.582,0.214,0.038,0.08,1.0
1.7069949340384074,0.596,0.22,0.039,0.08,1.0
1.7148819698705398,0.606,0.22,0.041,0.08,1.0
1.722805447131394,0.617,0.221,0.041,0.08,1.0
1.730765534195725,0.632,0.223,0.043,0.08,1.0
1.7387624002162507,0.645,0.223,0.043,0.08,1.0
1.7467962151272454,0.653,0.224,0.045,0.08,1.0
1.754867149648151,0.677,0.228,0.046,0.08,1.0
1.7629753752872057,0.69,0.232,0.047,0.08,1.0
1.7711210643450879,0.714,0.237,0.048,0.081,1.0
1.7793043899185779,0.725,0.24,0.049,0.081,1.0
1.787525525904235,0.733,0.241,0.05,0.081,1.0
1.7957846470020957,0.744,0.242,0.051,0.081,1.0
1.8040819287193828,0.758,0.244,0.052,0.081,1.0
1.812417547374237,0.765,0.248,0.052,0.081,1.0
1.8207916800994628,0.768,0.25,0.053,0.081,1.0
1.8292045048462933,0.776,0.253,0.054,0.081,1.0
1.8376562003881711,0.782,0.256,0.055,0.081,1.0
1.8461469463245477,0.787,0.259,0.055,0.081,1.0
1.8546769230846987,0.79,0.263,0.056,0.081,1.0
1.8632463119315603,0.794,0.266,0.057,0.081,1.0
1.8718552949655787,0.801,0.269,0.057,0.081,1.0
1.8805040551285823,0.806,0.273,0.057,0.081,1.0
1.8891927762076663,0.813,0.275,0.058,0.081,1.0
1.8979216428391006,0.819,0.278,0.062,0.081,1.0
1.9066908405122525,0.827,0.278,0.064,0.081,1.0
1.9155005555735276,0.834,0.281,0.064,0.081,1.0
1.924350975230331,0.837,0.284,0.064,0.081,1.0
1.9332422875550452,0.847,0.286,0.064,0.082,1.0
1.9421746814890257,0.852,0.287,0.066,0.082,1.0
1.9511483468466169,0.857,0.288,0.07,0.082,1.0
1.9601634743191854,0.858,0.289,0.071,0.082,1.0
1.9692202554791722,0.864,0.289,0.071,0.082,1.0
1.9783188827841642,0.87,0.289,0.071,0.082,1.0
1.987459549580983,0.872,0.289,0.071,0.082,1.0
1.996642450109794,0.879,0.289,0.073,0.082,1.0
2.005867779508234,0.886,0.291,0.073,0.082,1.0
2.0151357338155576,0.887,0.292,0.073,0.083,1.0
2.0244465099768036,0.889,0.292,0.073,0.083,1.0
2.0338003058469813,0.89,0.293,0.075,0.083,1.0
2.043197320195271,0.893,0.295,0.075,0.083,1.0
2.052637752709252,0.897,0.295,0.075,0.083,1.0
2.0621218039991436,0.902,0.296,0.075,0.083,1.0
2.071649675602069,0.908,0.298,0.075,0.083,1.0
2.0812215699863383,0.911,0.298,0.075,0.083,1.0
2.0908376905557504,0.911,0.299,0.075,0.083,1.0
2.100498241653915,0.913,0.299,0.075,0.083,1.0
2.1102034285685956,0.916,0.3,0.077,0.083,1.0
2.119953457536071,0.917,0.3,0.078,0.083,1.0
2.12974853574552,0.918,0.301,0.079,0.083,1.0
2.139588871343422,0.92,0.304,0.08,0.083,1.0
2.14947467343798,0.922,0.305,0.08,0.083,1.0
2.1594061521035663,0.924,0.305,0.08,0.083,1.0
2.1693835183851844,0.924,0.306,0.08,0.084,1.0
2.179406984302955,0.927,0.307,0.08,0.085,1.0
2.1894767628566214,0.928,0.307,0.08,0.085,1.0
2.1995930680300746,0.929,0.307,0.08,0.085,1.0
2.209756114795902,0.93,0.309,0.081,0.085,1.0
2.219966119119955,0.931,0.309,0.081,0.087,1.0
2.2302232979659378,0.932,0.312,0.082,0.088,1.0
2.240527869300019,0.932,0.312,0.083,0.088,1.0
2.2508800520954613,0.935,0.315,0.084,0.088,1.0
2.2612800663372785,0.936,0.316,0.084,0.088,1.0
2.2717281330269055,0.936,0.318,0.084,0.088,1.0
2.2822244741868976,0.937,0.319,0.085,0.088,1.0
2.2927693128656492,0.937,0.32,0.086,0.089,1.0
2.303362873142131,0.939,0.32,0.087,0.089,1.0
2.314005380130653,0.94,0.32,0.087,0.089,1.0
2.324697059985648,0.94,0.321,0.088,0.089,1.0
2.3354381399064787,0.942,0.321,0.088,0.089,1.0
2.346228848142263,0.942,0.321,0.089,0.091,1.0
2.3570694139967276,0.942,0.322,0.089,0.091,1.0
2.3679600678330774,0.942,0.323,0.089,0.092,1.0
2.3789010410788936,0.942,0.326,0.089,0.093,1.0
2.3898925662310497,0.943,0.328,0.089,0.094,1.0
2.4009348768606524,0.943,0.33,0.089,0.094,1.0
2.4120282076180066,0.944,0.331,0.089,0.096,1.0
2.4231727942375993,0.946,0.331,0.089,0.097,1.0
2.434368873543111,0.946,0.332,0.09,0.098,1.0
2.445616683452446,0.947,0.333,0.09,0.099,1.0
2.456916462982791,0.949,0.336,0.091,0.099,1.0
2.468268452255692,0.95,0.338,0.091,0.099,1.0
2.4796728925021587,0.95,0.339,0.091,0.099,1.0
2.491130026067789,0.951,0.34,0.091,0.099,1.0
2.5026400964179185,0.953,0.344,0.092,0.099,1.0
2.514203348142797,0.954,0.346,0.092,0.099,1.0
2.5258200269627844,0.955,0.347,0.095,0.1,1.0
2.5374903797335704,0.957,0.349,0.097,0.1,1.0
2.5492146544514234,0.959,0.351,0.097,0.1,1.0
2.5609931002584587,0.96,0.351,0.098,0.1,1.0
2.5728259674479332,0.96,0.351,0.098,0.1,1.0
2.5847135074695635,0.96,0.352,0.1,0.1,1.0
2.596655972934871,0.961,0.354,0.1,0.1,1.0
2.608653617622548,0.961,0.354,0.1,0.1,1.0
2.6207066964838517,0.961,0.355,0.101,0.1,1.0
2.632815465648021,0.964,0.357,0.101,0.1,1.0
2.6449801824277195,0.965,0.359,0.101,0.1,1.0
2.6572011053245053,0.966,0.361,0.102,0.1,1.0
2.6694784940343212,0.968,0.362,0.102,0.1,1.0
2.681812609453015,0.968,0.363,0.102,0.1,1.0
2.6942037136818833,0.969,0.363,0.102,0.1,1.0
2.7066520700332415,0.969,0.363,0.102,0.1,1.0
2.7191579430360173,0.969,0.364,0.102,0.1,1.0
2.7317215984413767,0.97,0.364,0.102,0.1,1.0
2.744343303228365,0.97,0.365,0.102,0.1,1.0
2.7570233256095835,0.971,0.365,0.102,0.1,1.0
2.769761935036891,0.972,0.365,0.103,0.1,1.0
2.7825594022071245,0.972,0.365,0.103,0.1,1.0
2.7954159990678566,0.972,0.365,0.103,0.101,1.0
2.8083319988231716,0.973,0.365,0.103,0.101,1.0
2.821307675939472,0.973,0.365,0.103,0.101,1.0
2.8343433061513092,0.973,0.366,0.103,0.101,1.0
2.8474391664672463,0.974,0.367,0.103,0.101,1.0
2.8605955351757424,0.974,0.368,0.103,0.101,1.0
2.8738126918510654,0.974,0.368,0.103,0.102,1.0
2.887090917359236,0.975,0.368,0.103,0.102,1.0
