,status,setup_time,solve_time,run_time,obj
QSHIP12S,solved,0.005615778,0.19809815800000002,0.203713936,3056962.238004203
QPCBOEI2,solved (inaccurate - reached max_iters),0.00044333,0.9431666989999999,0.9436100289999999,7487693.684440422
AUG2D,solved,0.02029969,0.035198087999999995,0.055497778,1677511.7528971669
HS53,solved,5.8076000000000004e-05,3.5186000000000005e-05,9.326200000000002e-05,-1.9069767214615057
PRIMAL3,solved,0.009531010999999999,0.0065495200000000005,0.016080531000000002,-0.1357558367437386
HS35,solved,1.4995e-05,1.6158e-05,3.1153e-05,-8.888888897104982
PRIMAL4,solved,0.009026626,0.002246091,0.011272717,-0.7460908418013703
QSHARE1B,solved,0.000432686,0.579400256,0.579832942,720078.6364938347
CVXQP3_S,solved,0.000248783,0.001511447,0.00176023,11943.432211642372
GENHS28,solved,2.7654e-05,1.3086e-05,4.074e-05,0.9271736613833282
AUG2DC,solved,0.027980169,0.048365438,0.076345607,1808268.0655702779
HUES-MOD,infeasible,0.010842121,0.0008323,0.011674421,inf
QSCSD1,solved,0.001401138,0.013608519,0.015009657,8.666666712483803
LISWET8,solved (inaccurate - reached max_iters),0.010794768,41.156930459,41.167725227000005,-2500.1599203444844
YAO,solved (inaccurate - reached max_iters),0.001642767,6.344523280000001,6.3461660470000005,-251.82998401189076
CVXQP3_M,solved,0.006328332,0.8077962609999999,0.814124593,1362828.745178582
Q25FV47,solved (inaccurate - reached max_iters),0.016077960999999998,22.729300236,22.745378196999997,13744407.28076935
PRIMAL2,solved,0.003766181,0.004415939,0.00818212,-0.03373367625641486
GOULDQP3,solved,0.001233832,0.011241664,0.012475495999999999,-29647.83721602796
LISWET1,solved (inaccurate - reached max_iters),0.011338065999999999,41.606027604000005,41.61736567,-2500.376274462271
QPCSTAIR,solved,0.001554688,0.208950778,0.210505466,6204387.54103145
QSCAGR25,solved,0.000782637,0.802639591,0.8034222280000001,201737943.91695637
QCAPRI,solved (inaccurate - reached max_iters),0.001093288,2.378743073,2.379836361,54206322.9828369
CVXQP2_M,solved,0.005021854,0.046939951,0.051961805,820155.4311410977
CONT-050,solved,0.009989910999999999,1.78449228,1.7944821909999997,-4.563850953081467
QSTAIR,solved,0.001906154,1.134017748,1.135923902,7985452.628867145
CVXQP1_M,solved,0.006807841,0.11144358900000001,0.11825143,1087511.567051646
PRIMALC1,solved (inaccurate - reached max_iters),0.000484555,1.097248717,1.097733272,-65023024.82504185
MOSARQP2,solved,0.0020444689999999997,0.019987816,0.022032285,-1597.4821175888667
QSCTAP1,solved,0.000890022,0.003412213,0.004302235,-3.969685208899985e-08
LISWET3,solved (inaccurate - reached max_iters),0.008497904,34.574744939,34.583242843,-1000.2588862390215
LISWET7,solved (inaccurate - reached max_iters),0.011282021,41.503951414,41.515233435,-2500.2562443559195
AUG3DQP,solved,0.006095871,0.036780827,0.042876698000000005,-661.2623299143424
CVXQP2_S,solved,0.000265142,0.000840154,0.001105296,8120.940113014166
DUAL2,solved,0.000757359,0.0006647269999999999,0.001422086,0.03373367612209804
QGROW7,solved (inaccurate - reached max_iters),0.001008582,2.380780601,2.381789183,-42789158.282430634
QSCTAP3,solved,0.004726289999999999,0.024029039000000002,0.028755329,-1.4866443727778776e-08
AUG3DCQP,solved,0.006120026,0.041440257,0.04756028300000001,-943.137853812626
LISWET4,solved (inaccurate - reached max_iters),0.008575493,36.57265951,36.581235002999996,-714.5160007904587
PRIMAL1,solved,0.002085651,0.003402342,0.005487992999999999,-0.035012963669259975
HS118,solved,5.1801e-05,0.000504264,0.000556065,664.8204451987447
AUG2DCQP,solved,0.032695185,2.212811319,2.2455065039999997,6488034.73452259
STCQP1,solved,0.015665665999999998,0.054539376,0.070205042,155143.55470423278
QGFRDXPN,solved (inaccurate - reached max_iters),0.001813689,5.880789807,5.882603496,100790564860.78479
QPTEST,solved,3.0186999999999997e-05,7.1337e-05,0.000101524,4.371874999982462
LISWET5,solved (inaccurate - reached max_iters),0.014708512,40.719688263,40.734396775,-15976.165824373948
VALUES,solved,0.000700392,0.011796746,0.012497138000000001,-1.3966208596638399
LISWET10,solved (inaccurate - reached max_iters),0.011452826999999999,42.922694154999995,42.934146982,-2500.94753415626
CVXQP3_L,solved,2.5330252150000003,61.924006771,64.457031986,115711100.14697488
DTOC3,solved,0.015131465,0.08541541700000001,0.100546882,235.2624814906232
QSCORPIO,solved,0.0007531910000000001,0.117053508,0.117806699,1880.5094464179297
PRIMALC2,solved,0.000473632,0.019843529,0.020317161,-3551.30734790744
QSCTAP2,solved,0.003781777,0.016927542,0.020709319,-4.072493816542059e-08
DUALC8,solved,0.000519107,0.000978381,0.001497488,18309.35896675841
DUAL4,solved,0.000518079,0.000724371,0.0012424499999999998,0.7460908419296697
QADLITTL,solved,0.000262132,0.017195934,0.017458066,480318.8989287587
LOTSCHD,solved,5.3021e-05,0.000180678,0.000233699,2398.415891397312
QBRANDY,solved,0.001001306,0.29809173099999997,0.299093037,28375.11081703197
GOULDQP2,solved,0.001040004,0.585716067,0.5867560709999999,0.0001842749765804521
DUALC5,solved,0.000256509,0.00151339,0.0017698990000000001,427.2323267785515
LISWET12,solved (inaccurate - reached max_iters),0.011007544,47.727861591,47.738869135,-2148.7402700030757
