,status,setup_time,solve_time,run_time,obj
PRIMALC1,Solved,,0.002125161,0.002125161,-6155.2507697469755
MOSARQP2,Solved,,0.008773121,0.008773121,-1597.4821082209976
QSCTAP1,Solved,,0.002629729,0.002629729,2.0506571140909807e-09
LISWET3,Solved,,0.05892295,0.05892295,-1000.2587678894051
LISWET7,AlmostSolved,,0.573945062,0.573945062,-2483.194968631471
AUG3DQP,Solved,,0.030276824,0.030276824,-661.2623109956315
CVXQP2_S,Solved,,0.000835822,0.000835822,8120.940530699841
DUAL2,Solved,,0.003244936,0.003244936,0.033733685833589315
QGROW7,Solved,,0.007473791,0.007473791,-42798713.70816674
QSCTAP3,Solved,,0.01844511,0.01844511,2.297514653114402e-08
AUG3DCQP,Solved,,0.027940232,0.027940232,-943.1378393874804
LISWET4,Solved,,0.07629424,0.07629424,-714.5158982818706
PRIMAL1,Solved,,0.005391664,0.005391664,-0.03501295390437401
HS118,Solved,,0.000174892,0.000174892,664.8204536111011
AUG2DCQP,Solved,,0.211120514,0.211120514,6488034.743930681
STCQP1,Solved,,0.061200047,0.061200047,155143.55526251314
QGFRDXPN,Solved,,0.010235677,0.010235677,100790597753.41922
QPTEST,Solved,,4.3666e-05,4.3666e-05,4.371875030974427
LISWET5,Solved,,0.037033448,0.037033448,-15976.165682352108
VALUES,Solved,,0.003004742,0.003004742,-1.3966211433271134
LISWET10,Solved,,0.119999202,0.119999202,-2500.7704487672067
CVXQP3_L,Solved,,28.415216158,28.415216158,115711106.29849197
DTOC3,Solved,,0.032648965,0.032648965,235.2624802860174
QSCORPIO,Solved,,0.002433359,0.002433359,1880.5095494929847
PRIMALC2,Solved,,0.001701568,0.001701568,-3551.3076860402743
QSCTAP2,Solved,,0.013206628,0.013206628,4.643138481851096e-09
DUALC8,Solved,,0.001772261,0.001772261,18309.35888254205
DUAL4,Solved,,0.002095301,0.002095301,0.7460908446264269
QADLITTL,Solved,,0.000863028,0.000863028,480318.8661006873
LOTSCHD,Solved,,9.324e-05,9.324e-05,2398.4159521976294
QBRANDY,Solved,,0.005349888,0.005349888,28375.11684919345
GOULDQP2,Solved,,0.004711208,0.004711208,0.00018428106561769097
DUALC5,Solved,,0.001045809,0.001045809,427.2323269916071
LISWET12,AlmostSolved,,0.439571875,0.439571875,-2289.730038689658
