,Unnamed: 0,size,status,setup_time,solve_time,run_time,obj
0,lcvx_N_15_i_0,704,optimal,,0.000346797,0.000346797,-3.341060188348374
1,lcvx_N_15_i_1,704,optimal,,0.000346994,0.000346994,-3.3410610291621143
2,lcvx_N_15_i_2,704,optimal,,0.000347687,0.000347687,-3.341055532463599
3,lcvx_N_15_i_3,704,optimal,,0.000339507,0.000339507,-3.341061375251332
4,lcvx_N_15_i_4,704,optimal,,0.00034072,0.00034072,-3.34105728177392
5,lcvx_N_15_i_5,704,optimal,,0.000343081,0.000343081,-3.3410583375303644
6,lcvx_N_15_i_6,704,optimal,,0.00033885,0.00033885,-3.3410622792618367
7,lcvx_N_15_i_7,704,optimal,,0.000343922,0.000343922,-3.3410578723980304
8,lcvx_N_15_i_8,704,optimal,,0.000342505,0.000342505,-3.341060269370714
9,lcvx_N_15_i_9,704,optimal,,0.000348332,0.000348332,-3.3410593246720746
10,lcvx_N_15_i_10,704,optimal,,0.000343644,0.000343644,-3.3410579607703665
11,lcvx_N_15_i_11,704,optimal,,0.000343004,0.000343004,-3.341062186182368
12,lcvx_N_15_i_12,704,optimal,,0.0003456,0.0003456,-3.3410580787666126
13,lcvx_N_15_i_13,704,optimal,,0.000354146,0.000354146,-3.3410619390171497
14,lcvx_N_15_i_14,704,optimal,,0.000345343,0.000345343,-3.34106124354836
15,lcvx_N_15_i_15,704,optimal,,0.000348183,0.000348183,-3.3410606547098323
16,lcvx_N_15_i_16,704,optimal,,0.000343237,0.000343237,-3.3410619958222245
17,lcvx_N_15_i_17,704,optimal,,0.000344656,0.000344656,-3.3410593174220247
18,lcvx_N_15_i_18,704,optimal,,0.000348134,0.000348134,-3.341060715414005
19,lcvx_N_15_i_19,704,optimal,,0.000344912,0.000344912,-3.341057868089433
20,lcvx_N_50_i_0,2314,optimal,,0.001432644,0.001432644,-3.35126524818651
21,lcvx_N_50_i_1,2314,optimal,,0.001439598,0.001439598,-3.351262080079233
22,lcvx_N_50_i_2,2314,optimal,,0.002043059,0.002043059,-3.3512624350053954
23,lcvx_N_50_i_3,2314,optimal,,0.002158318,0.002158318,-3.351261201932743
24,lcvx_N_50_i_4,2314,optimal,,0.001402843,0.001402843,-3.351264479625437
25,lcvx_N_50_i_5,2314,optimal,,0.001434886,0.001434886,-3.3512660419856672
26,lcvx_N_50_i_6,2314,optimal,,0.0014373,0.0014373,-3.3512617155875524
27,lcvx_N_50_i_7,2314,optimal,,0.001439308,0.001439308,-3.351265211523636
28,lcvx_N_50_i_8,2314,optimal,,0.002031471,0.002031471,-3.351257597993806
29,lcvx_N_50_i_9,2314,optimal,,0.002033177,0.002033177,-3.351259077004824
30,lcvx_N_50_i_10,2314,optimal,,0.001968286,0.001968286,-3.3512578973488423
31,lcvx_N_50_i_11,2314,optimal,,0.001440538,0.001440538,-3.3512639059941858
32,lcvx_N_50_i_12,2314,optimal,,0.001424896,0.001424896,-3.3512625093842434
33,lcvx_N_50_i_13,2314,optimal,,0.00142477,0.00142477,-3.351265546730384
34,lcvx_N_50_i_14,2314,optimal,,0.002024453,0.002024453,-3.3512577780288355
35,lcvx_N_50_i_15,2314,optimal,,0.001972022,0.001972022,-3.351261984646781
36,lcvx_N_50_i_16,2314,optimal,,0.001976345,0.001976345,-3.3512622971751704
37,lcvx_N_50_i_17,2314,optimal,,0.00169404,0.00169404,-3.3512624094045296
38,lcvx_N_50_i_18,2314,optimal,,0.001413632,0.001413632,-3.3512655102524462
39,lcvx_N_50_i_19,2314,optimal,,0.001561336,0.001561336,-3.3512586453409696
40,lcvx_N_75_i_0,3464,optimal,,0.00311817,0.00311817,-3.3526374743476057
41,lcvx_N_75_i_1,3464,optimal,,0.003374446,0.003374446,-3.352640093865076
42,lcvx_N_75_i_2,3464,optimal,,0.002551993,0.002551993,-3.352643330997372
43,lcvx_N_75_i_3,3464,optimal,,0.00225214,0.00225214,-3.352643265150028
44,lcvx_N_75_i_4,3464,optimal,,0.003373161,0.003373161,-3.352640672075996
45,lcvx_N_75_i_5,3464,optimal,,0.00308566,0.00308566,-3.3526396547197588
46,lcvx_N_75_i_6,3464,optimal,,0.003116168,0.003116168,-3.352645117225063
47,lcvx_N_75_i_7,3464,optimal,,0.002370634,0.002370634,-3.352638365334113
48,lcvx_N_75_i_8,3464,optimal,,0.002430767,0.002430767,-3.352643248549509
49,lcvx_N_75_i_9,3464,optimal,,0.003613353,0.003613353,-3.3526374739364884
50,lcvx_N_75_i_10,3464,optimal,,0.003100953,0.003100953,-3.352639295656868
51,lcvx_N_75_i_11,3464,optimal,,0.003027408,0.003027408,-3.352643278477509
52,lcvx_N_75_i_12,3464,optimal,,0.00237741,0.00237741,-3.352639761104
53,lcvx_N_75_i_13,3464,optimal,,0.002418336,0.002418336,-3.352645095317796
54,lcvx_N_75_i_14,3464,optimal,,0.003358308,0.003358308,-3.352639855990494
55,lcvx_N_75_i_15,3464,optimal,,0.003370409,0.003370409,-3.352641289022912
56,lcvx_N_75_i_16,3464,optimal,,0.003298131,0.003298131,-3.352643175762176
57,lcvx_N_75_i_17,3464,optimal,,0.002435306,0.002435306,-3.3526356184320965
58,lcvx_N_75_i_18,3464,optimal,,0.003107236,0.003107236,-3.352636034907916
59,lcvx_N_75_i_19,3464,optimal,,0.003504167,0.003504167,-3.352641007942974
60,lcvx_N_100_i_0,4614,optimal,,0.003218386,0.003218386,-3.353323115455161
61,lcvx_N_100_i_1,4614,optimal,,0.003360204,0.003360204,-3.3533246968348203
