,nvar,status,setup_time,solve_time,run_time,obj
robust_kalman_filter_25,204,optimal,0.0,0.007191896438598633,0.007191896438598633,706.0121838396565
robust_kalman_filter_50,404,optimal,0.0,0.014547109603881836,0.014547109603881836,1710.4613568727702
robust_kalman_filter_75,604,optimal,0.0,0.021600961685180664,0.021600961685180664,3201.5553367146686
robust_kalman_filter_100,804,optimal,0.0,0.03917288780212402,0.03917288780212402,4708.570495773344
robust_kalman_filter_125,1004,optimal,0.0,0.033403873443603516,0.033403873443603516,5060.296896408546
robust_kalman_filter_150,1204,optimal,0.0,0.04590106010437012,0.04590106010437012,5427.66073878014
robust_kalman_filter_175,1404,optimal,0.0,0.051438093185424805,0.051438093185424805,8490.266609749528
robust_kalman_filter_225,1804,optimal,0.0,0.06585907936096191,0.06585907936096191,8859.933946757676
robust_kalman_filter_300,2404,optimal,0.0,0.0970909595489502,0.0970909595489502,13227.527225423308
robust_kalman_filter_400,3204,optimal,0.0,0.11006498336791992,0.11006498336791992,17057.908943563016
robust_kalman_filter_500,4004,optimal,0.0,0.1775979995727539,0.1775979995727539,19557.6560069923
