tau,qoco,qoco_custom,clarabel,ecos,gurobi,mosek
1.0,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.005315323433811,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.010658899530828,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0160308784630938,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0214314112008642,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0268606495168509,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0323187459904861,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0378058540122117,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.043322127787789,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.048867722342633,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0544427935261689,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0600474980162116,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0656819933233699,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.071346437795472,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0770409906220162,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0827658118386445,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.0885210623316397,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.094306903842448,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1001234989722228,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.105971011186396,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1118496048192708,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1177594450786401,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1237006980504303,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1296735307033674,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.135678110893671,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1417146073697704,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1477831897770472,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1538840286626035,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.160017295480054,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1661831625943453,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.172381803286599,0.140625,0.84375,0.0,0.0,0.015625,0.0
1.1786133917589816,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.1848781031396016,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.191176113487429,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.1975075997972446,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2038727400046139,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2102717129908864,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2167046985882255,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2231718775846596,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2296734317291638,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2362095437367686,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2427803972936935,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2493861770625097,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2560270686873296,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2627032587990241,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.2694149350204682,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.276162285971812,0.140625,0.84375,0.0,0.0,0.015625,0.015625
1.282945501275784,0.15625,0.84375,0.0,0.0,0.015625,0.015625
1.2897647715630174,0.15625,0.84375,0.0,0.0,0.015625,0.015625
1.2966202884774103,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.303512244681509,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3104408338619242,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3174062507347732,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.324408691051153,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.33144835160264,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3385254302268226,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3456401258128592,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3527926383070688,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3599831687185493,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3672119191248275,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3744790926775374,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3817848936081296,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3891295272336108,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.3965131999623144,0.171875,0.84375,0.0,0.0,0.015625,0.015625
1.4039361192997004,0.171875,0.859375,0.0,0.0,0.015625,0.015625
1.411398493854188,0.171875,0.859375,0.0,0.0,0.015625,0.015625
1.4189005333430165,0.171875,0.859375,0.0,0.0,0.015625,0.015625
1.4264424485981415,0.1875,0.859375,0.0,0.0,0.015625,0.015625
1.434024451572158,0.1875,0.859375,0.0,0.0,0.015625,0.015625
1.4416467553442576,0.1875,0.859375,0.0,0.0,0.03125,0.015625
1.4493095741262163,0.1875,0.859375,0.0,0.0,0.03125,0.015625
1.457013123268416,0.1875,0.859375,0.0,0.0,0.03125,0.015625
1.4647576192658949,0.1875,0.859375,0.0,0.0,0.03125,0.015625
1.4725432797644322,0.203125,0.859375,0.0,0.0,0.03125,0.015625
1.480370323566665,0.203125,0.859375,0.015625,0.0,0.03125,0.015625
1.4882389706382373,0.21875,0.859375,0.015625,0.0,0.03125,0.015625
1.4961494421139814,0.21875,0.859375,0.015625,0.0,0.03125,0.015625
1.504101960304133,0.234375,0.859375,0.015625,0.0,0.03125,0.015625
