,size,status,setup_time,solve_time,run_time,obj
portfolio_N_5_i_6,2760,optimal,,0.001568947,0.001568947,-160.23485649422844
portfolio_N_5_i_7,2760,optimal,,0.001662924,0.001662924,-96.73163887242558
portfolio_N_5_i_8,2760,optimal,,0.001434941,0.001434941,-98.39762976690926
portfolio_N_5_i_9,2760,optimal,,0.001597318,0.001597318,-78.09801397776413
portfolio_N_5_i_10,2760,optimal,,0.001673257,0.001673257,-145.59509989624758
portfolio_N_5_i_11,2760,optimal,,0.00169934,0.00169934,-120.0051400925914
portfolio_N_5_i_12,2760,optimal,,0.00150087,0.00150087,-93.81747259728625
portfolio_N_5_i_13,2760,optimal,,0.001521997,0.001521997,-123.79253507203236
portfolio_N_5_i_14,2760,optimal,,0.001383963,0.001383963,-66.51284727401972
portfolio_N_5_i_15,2760,optimal,,0.00144656,0.00144656,-91.25665787595962
portfolio_N_5_i_16,2760,optimal,,0.001442012,0.001442012,-149.9608469558472
portfolio_N_5_i_17,2760,optimal,,0.001532108,0.001532108,-52.90781005523255
portfolio_N_5_i_18,2760,optimal,,0.001584884,0.001584884,-78.8813813726342
portfolio_N_5_i_19,2760,optimal,,0.001443286,0.001443286,-103.43815506420152
portfolio_N_8_i_0,5616,optimal,,0.003111415,0.003111415,-151.4564234154968
portfolio_N_8_i_1,5616,optimal,,0.003120633,0.003120633,-225.941408108329
portfolio_N_8_i_2,5616,optimal,,0.003131769,0.003131769,-180.43929997212186
portfolio_N_8_i_3,5616,optimal,,0.002846126,0.002846126,-118.11755537809256
portfolio_N_8_i_4,5616,optimal,,0.002879391,0.002879391,-129.5386335973884
portfolio_N_8_i_5,5616,optimal,,0.003267088,0.003267088,-209.05717974278573
portfolio_N_8_i_6,5616,optimal,,0.001886003,0.001886003,-155.75891339890632
portfolio_N_8_i_7,5616,optimal,,0.001889093,0.001889093,-158.79885464269952
portfolio_N_8_i_8,5616,optimal,,0.001886456,0.001886456,-233.004617875521
portfolio_N_8_i_9,5616,optimal,,0.001884199,0.001884199,-197.6939927411913
portfolio_N_8_i_10,5616,optimal,,0.001875878,0.001875878,-190.38665040333763
portfolio_N_8_i_11,5616,optimal,,0.001888939,0.001888939,-157.95447983036388
portfolio_N_8_i_12,5616,optimal,,0.002028225,0.002028225,-110.63312502776081
portfolio_N_8_i_13,5616,optimal,,0.004237553,0.004237553,-146.42955387992566
portfolio_N_8_i_14,5616,optimal,,0.003564284,0.003564284,-137.13594353203422
portfolio_N_8_i_15,5616,optimal,,0.00391585,0.00391585,-158.3712314971398
portfolio_N_8_i_16,5616,optimal,,0.00282226,0.00282226,-94.79351360371278
portfolio_N_8_i_17,5616,optimal,,0.004376974,0.004376974,-159.90038514299013
portfolio_N_8_i_18,5616,optimal,,0.002599207,0.002599207,-242.9302512995198
portfolio_N_8_i_19,5616,optimal,,0.003925749,0.003925749,-141.0647116066114
portfolio_N_12_i_0,10824,optimal,,0.006160467,0.006160467,-184.09655304549028
portfolio_N_12_i_1,10824,optimal,,0.006143096,0.006143096,-195.3969446498593
portfolio_N_12_i_2,10824,optimal,,0.009018595,0.009018595,-198.80471915552724
portfolio_N_12_i_3,10824,optimal,,0.007071244,0.007071244,-215.78261173126867
portfolio_N_12_i_4,10824,optimal,,0.004264635,0.004264635,-186.72992131267088
portfolio_N_12_i_5,10824,optimal,,0.004147849,0.004147849,-273.5353521681407
portfolio_N_12_i_6,10824,optimal,,0.003756021,0.003756021,-254.36421048474634
portfolio_N_12_i_7,10824,optimal,,0.004156578,0.004156578,-331.6914667408906
portfolio_N_12_i_8,10824,optimal,,0.005899013,0.005899013,-211.44663302724774
portfolio_N_12_i_9,10824,optimal,,0.005916092,0.005916092,-254.58844373799968
portfolio_N_12_i_10,10824,optimal,,0.005957782,0.005957782,-233.08701252951334
portfolio_N_12_i_11,10824,optimal,,0.005743401,0.005743401,-181.89504233323984
portfolio_N_12_i_12,10824,optimal,,0.005697719,0.005697719,-197.23412532899076
portfolio_N_12_i_13,10824,optimal,,0.005928389,0.005928389,-216.80891796972912
portfolio_N_12_i_14,10824,optimal,,0.005822199,0.005822199,-206.5398173768042
portfolio_N_12_i_15,10824,optimal,,0.005964605,0.005964605,-387.8298443749862
portfolio_N_12_i_16,10824,optimal,,0.004174634,0.004174634,-189.3939583000587
portfolio_N_12_i_17,10824,optimal,,0.004399904,0.004399904,-189.08647598174986
portfolio_N_12_i_18,10824,optimal,,0.004279144,0.004279144,-263.6275777863807
portfolio_N_12_i_19,10824,optimal,,0.004096291,0.004096291,-299.4105049767432
portfolio_N_15_i_0,15780,optimal,,0.008862905,0.008862905,-224.2822326214459
portfolio_N_15_i_1,15780,optimal,,0.01006668,0.01006668,-272.7334473186972
portfolio_N_15_i_2,15780,optimal,,0.00864799,0.00864799,-426.6116721556658
portfolio_N_15_i_3,15780,optimal,,0.009232913,0.009232913,-325.1011637772181
portfolio_N_15_i_4,15780,optimal,,0.007674194,0.007674194,-271.1661386371464
portfolio_N_15_i_5,15780,optimal,,0.006170271,0.006170271,-255.45559267833426
portfolio_N_15_i_6,15780,optimal,,0.00538453,0.00538453,-191.98379737928306
portfolio_N_15_i_7,15780,optimal,,0.005994946,0.005994946,-258.9937891723474
portfolio_N_15_i_8,15780,optimal,,0.007538324,0.007538324,-224.29807529801582
portfolio_N_15_i_9,15780,optimal,,0.007902702,0.007902702,-262.614665227895
portfolio_N_15_i_10,15780,optimal,,0.007275152,0.007275152,-264.82851490143037
portfolio_N_15_i_11,15780,optimal,,0.008212211,0.008212211,-249.00869131266055
portfolio_N_15_i_12,15780,optimal,,0.018118955,0.018118955,-267.19035136670647
portfolio_N_15_i_13,15780,optimal,,0.005868469,0.005868469,-233.11944859607843
portfolio_N_15_i_14,15780,optimal,,0.006143568,0.006143568,-191.72787383747774
portfolio_N_15_i_15,15780,optimal,,0.010306604,0.010306604,-285.19720981920864
portfolio_N_15_i_16,15780,optimal,,0.009780074,0.009780074,-192.46132804727952
portfolio_N_15_i_17,15780,optimal,,0.009866141,0.009866141,-230.829781005899
portfolio_N_15_i_18,15780,optimal,,0.009784971,0.009784971,-269.95317595829096
portfolio_N_15_i_19,15780,optimal,,0.01082222,0.01082222,-209.91052975650666
