,size,status,setup_time,solve_time,run_time,obj
oscillating_masses_N_32_i_19,5280,optimal,0.0,0.006040821,0.006040821,259.6264261082827
oscillating_masses_N_44_i_0,7248,optimal,0.0,0.008110842,0.008110842,80.85387678296787
oscillating_masses_N_44_i_1,7248,optimal,0.0,0.008910481,0.008910481,230.4455341404141
oscillating_masses_N_44_i_2,7248,optimal,0.0,0.005489744,0.005489744,156.03692283898133
oscillating_masses_N_44_i_3,7248,optimal,0.0,0.004359978,0.004359978,298.456023706326
oscillating_masses_N_44_i_4,7248,optimal,0.0,0.004888995,0.004888995,464.8442885872174
oscillating_masses_N_44_i_5,7248,optimal,0.0,0.004770875,0.004770875,118.50614987498936
oscillating_masses_N_44_i_6,7248,optimal,0.0,0.005787806,0.005787806,590.2692828527089
oscillating_masses_N_44_i_7,7248,optimal,0.0,0.008811683,0.008811683,146.88618696260963
oscillating_masses_N_44_i_8,7248,optimal,0.0,0.006894272,0.006894272,243.29005866662985
oscillating_masses_N_44_i_9,7248,optimal,0.0,0.007936299,0.007936299,157.06916490381067
oscillating_masses_N_44_i_10,7248,optimal,0.0,0.008655332,0.008655332,334.8948100879644
oscillating_masses_N_44_i_11,7248,optimal,0.0,0.008080265,0.008080265,145.02545835085752
oscillating_masses_N_44_i_12,7248,optimal,0.0,0.008890966,0.008890966,189.8924229230773
oscillating_masses_N_44_i_13,7248,optimal,0.0,0.006802478,0.006802478,176.71108810553216
oscillating_masses_N_44_i_14,7248,optimal,0.0,0.008054613,0.008054613,358.96343631169015
oscillating_masses_N_44_i_15,7248,optimal,0.0,0.005242736,0.005242736,258.7915671656718
oscillating_masses_N_44_i_16,7248,optimal,0.0,0.00493395,0.00493395,237.29021887298427
oscillating_masses_N_44_i_17,7248,optimal,0.0,0.004986867,0.004986867,337.58344977680224
oscillating_masses_N_44_i_18,7248,optimal,0.0,0.004944099,0.004944099,251.59643792650527
oscillating_masses_N_44_i_19,7248,optimal,0.0,0.004967792,0.004967792,231.46646344129613
oscillating_masses_N_56_i_0,9216,optimal,0.0,0.006321265,0.006321265,395.418504664071
oscillating_masses_N_56_i_1,9216,optimal,0.0,0.010352106,0.010352106,90.56971939669009
oscillating_masses_N_56_i_2,9216,optimal,0.0,0.010271675,0.010271675,90.92090532613167
oscillating_masses_N_56_i_3,9216,optimal,0.0,0.008618973,0.008618973,357.1850575885804
oscillating_masses_N_56_i_4,9216,optimal,0.0,0.010096671,0.010096671,297.4544604238329
oscillating_masses_N_56_i_5,9216,optimal,0.0,0.010743847,0.010743847,244.51570628125543
oscillating_masses_N_56_i_6,9216,optimal,0.0,0.010584659,0.010584659,214.93374044034883
oscillating_masses_N_56_i_7,9216,optimal,0.0,0.009432954,0.009432954,306.7092426757849
oscillating_masses_N_56_i_8,9216,optimal,0.0,0.008387128,0.008387128,343.0388138068788
oscillating_masses_N_56_i_9,9216,optimal,0.0,0.006154821,0.006154821,308.85146509887113
oscillating_masses_N_56_i_10,9216,optimal,0.0,0.005730465,0.005730465,382.0776503466538
oscillating_masses_N_56_i_11,9216,optimal,0.0,0.00568044,0.00568044,261.7256353398339
oscillating_masses_N_56_i_12,9216,optimal,0.0,0.005824258,0.005824258,276.70878214392644
oscillating_masses_N_56_i_13,9216,optimal,0.0,0.008614763,0.008614763,202.27609942186598
oscillating_masses_N_56_i_14,9216,optimal,0.0,0.008254934,0.008254934,142.3165661989773
oscillating_masses_N_56_i_15,9216,optimal,0.0,0.009089851,0.009089851,354.7808408789173
oscillating_masses_N_56_i_16,9216,optimal,0.0,0.006586199,0.006586199,266.31433338435266
oscillating_masses_N_56_i_17,9216,optimal,0.0,0.009323096,0.009323096,311.07373082393593
oscillating_masses_N_56_i_18,9216,optimal,0.0,0.008424388,0.008424388,313.1843539420618
oscillating_masses_N_56_i_19,9216,optimal,0.0,0.01117512,0.01117512,752.1097485835417
oscillating_masses_N_76_i_0,12496,optimal,0.0,0.010463859,0.010463859,141.0193650103934
oscillating_masses_N_76_i_1,12496,optimal,0.0,0.010168657,0.010168657,319.7440584772239
oscillating_masses_N_76_i_2,12496,optimal,0.0,0.008787117,0.008787117,266.4747781983228
oscillating_masses_N_76_i_3,12496,optimal,0.0,0.006491509,0.006491509,124.2609408437015
oscillating_masses_N_76_i_4,12496,optimal,0.0,0.008040469,0.008040469,371.1241917820863
oscillating_masses_N_76_i_5,12496,optimal,0.0,0.007222591,0.007222591,162.62996786259723
oscillating_masses_N_76_i_6,12496,optimal,0.0,0.007336797,0.007336797,216.71277630265456
oscillating_masses_N_76_i_7,12496,optimal,0.0,0.007390456,0.007390456,196.09630569212553
oscillating_masses_N_76_i_8,12496,optimal,0.0,0.008506843,0.008506843,200.83539757434838
oscillating_masses_N_76_i_9,12496,optimal,0.0,0.009977687,0.009977687,250.38238693291873
oscillating_masses_N_76_i_10,12496,optimal,0.0,0.013101844,0.013101844,164.34485247830744
oscillating_masses_N_76_i_11,12496,optimal,0.0,0.01152579,0.01152579,204.22502986035482
oscillating_masses_N_76_i_12,12496,optimal,0.0,0.01471774,0.01471774,749.7186345476334
oscillating_masses_N_76_i_13,12496,optimal,0.0,0.014220748,0.014220748,299.39814724034517
oscillating_masses_N_76_i_14,12496,optimal,0.0,0.010463024,0.010463024,447.915057986192
oscillating_masses_N_76_i_15,12496,optimal,0.0,0.010097865,0.010097865,156.52656540663136
oscillating_masses_N_76_i_16,12496,optimal,0.0,0.00982238,0.00982238,96.3499945029031
oscillating_masses_N_76_i_17,12496,optimal,0.0,0.010093212,0.010093212,345.02022387131143
oscillating_masses_N_76_i_18,12496,optimal,0.0,0.010060071,0.010060071,505.94561329867366
oscillating_masses_N_76_i_19,12496,optimal,0.0,0.010060574,0.010060574,191.32525718441988
oscillating_masses_N_96_i_0,15776,optimal,0.0,0.013501088,0.013501088,149.8609737364187
oscillating_masses_N_96_i_1,15776,optimal,0.0,0.010372451,0.010372451,449.2603752540638
oscillating_masses_N_96_i_2,15776,optimal,0.0,0.008763016,0.008763016,129.2178469475388
oscillating_masses_N_96_i_3,15776,optimal,0.0,0.00889511,0.00889511,147.97012555389642
oscillating_masses_N_96_i_4,15776,optimal,0.0,0.008541603,0.008541603,45.240130708343436
oscillating_masses_N_96_i_5,15776,optimal,0.0,0.009033969,0.009033969,362.22636785885624
oscillating_masses_N_96_i_6,15776,optimal,0.0,0.013251902,0.013251902,179.1560745410665
oscillating_masses_N_96_i_7,15776,optimal,0.0,0.013552503,0.013552503,455.5347375861915
oscillating_masses_N_96_i_8,15776,optimal,0.0,0.013084975,0.013084975,300.87371641132506
oscillating_masses_N_96_i_9,15776,optimal,0.0,0.012854825,0.012854825,193.0580549289177
oscillating_masses_N_96_i_10,15776,optimal,0.0,0.014255104,0.014255104,78.50790899575588
oscillating_masses_N_96_i_11,15776,optimal,0.0,0.014627723,0.014627723,507.16608477598356
oscillating_masses_N_96_i_12,15776,optimal,0.0,0.012443467,0.012443467,190.51570385907067
oscillating_masses_N_96_i_13,15776,optimal,0.0,0.012989562,0.012989562,361.91637774849033
oscillating_masses_N_96_i_14,15776,optimal,0.0,0.012975389,0.012975389,356.2437244941225
oscillating_masses_N_96_i_15,15776,optimal,0.0,0.014443199,0.014443199,508.0831920638047
oscillating_masses_N_96_i_16,15776,optimal,0.0,0.00940603,0.00940603,230.12363873548807
oscillating_masses_N_96_i_17,15776,optimal,0.0,0.008918181,0.008918181,163.27981559905126
oscillating_masses_N_96_i_18,15776,optimal,0.0,0.008465296,0.008465296,54.52747188018103
oscillating_masses_N_96_i_19,15776,optimal,0.0,0.008788093,0.008788093,179.6098008149642
oscillating_masses_N_116_i_0,19056,optimal,0.0,0.010647268,0.010647268,330.5353109782785
oscillating_masses_N_116_i_1,19056,optimal,0.0,0.017997761,0.017997761,238.59937869154246
oscillating_masses_N_116_i_2,19056,optimal,0.0,0.016529103,0.016529103,165.23528077344335
oscillating_masses_N_116_i_3,19056,optimal,0.0,0.01605803,0.01605803,141.00191378989663
oscillating_masses_N_116_i_4,19056,optimal,0.0,0.01452828,0.01452828,366.7837495469668
oscillating_masses_N_116_i_5,19056,optimal,0.0,0.024330218,0.024330218,412.6326433207348
oscillating_masses_N_116_i_6,19056,optimal,0.0,0.016151801,0.016151801,45.20257224532325
oscillating_masses_N_116_i_7,19056,optimal,0.0,0.015337094,0.015337094,481.00271708837687
oscillating_masses_N_116_i_8,19056,optimal,0.0,0.018121151,0.018121151,477.27351626485694
oscillating_masses_N_116_i_9,19056,optimal,0.0,0.014166524,0.014166524,449.7070929544063
